1764036647.038932,0
1764036647.143377,20
1764036647.247617,19
1764036647.350062,20
1764036647.454182,15
1764036647.556460,14
1764036647.658644,13
1764036647.762383,15
1764036647.865211,17
1764036647.968117,18
1764036648.071296,20
1764036648.173557,15
1764036648.275932,18
1764036648.378214,16
1764036648.481142,16
1764036648.583855,17
1764036648.686619,20
1764036648.788512,20
1764036648.891055,14
1764036648.993588,13
1764036649.095966,14
1764036649.198494,20
1764036649.301290,16
1764036649.403499,14
1764036649.505633,7
1764036649.608040,8
1764036649.710169,10
1764036649.812266,11
1764036649.915909,13
1764036650.018422,14
1764036650.120823,17
1764036650.222805,18
1764036650.325003,19
1764036650.427463,19
1764036650.529710,17
1764036650.631504,14
1764036650.733477,14
1764036650.837260,16
1764036650.939502,19
1764036651.043502,11
1764036651.146106,13
1764036651.249175,14
1764036651.351626,15
1764036651.454637,17
1764036651.558074,19
1764036651.661255,19
1764036651.763300,16
1764036651.865408,17
1764036651.967714,18
1764036652.069525,20
1764036652.171495,20
1764036652.274362,15
1764036652.376518,15
1764036652.478459,17
1764036652.580602,16
1764036652.683871,17
1764036652.786133,19
1764036652.888081,19
1764036652.990072,18
1764036653.093038,19
1764036653.195387,17
1764036653.298184,14
1764036653.400859,16
1764036653.504187,17
1764036653.606879,17
1764036653.708879,20
1764036653.810738,20
1764036653.912903,15
1764036654.014875,14
1764036654.117173,12
1764036654.219570,14
1764036654.321582,15
1764036654.423683,17
1764036654.526126,18
1764036654.628501,18
1764036654.730253,19
1764036654.832396,19
1764036654.935742,10
1764036655.038282,12
1764036655.142142,16
1764036655.245475,20
1764036655.348005,18
1764036655.450743,12
1764036655.554037,14
1764036655.656728,16
1764036655.759250,11
1764036655.861526,14
1764036655.965654,14
1764036656.067923,17
1764036656.170866,18
1764036656.273333,18
1764036656.375658,20
1764036656.477862,20
1764036656.579708,4
1764036656.682211,7
1764036656.784506,8
1764036656.886490,10
1764036656.988765,13
1764036657.091061,14
1764036657.193923,16
1764036657.325384,16
1764036657.455184,18
1764036657.565466,18
1764036657.669322,19
1764036657.773427,11
1764036657.876950,13
1764036657.979801,13
1764036658.082509,15
1764036658.185108,17
1764036658.287732,17
1764036658.389792,19
1764036658.492446,17
1764036658.595272,8
1764036658.699772,12
1764036658.802667,13
1764036658.905215,14
1764036659.008069,16
1764036659.110804,17
1764036659.213836,19
1764036659.316520,19
1764036659.418864,20
1764036659.521629,10
1764036659.624948,11
1764036659.727836,14
1764036659.829889,15
1764036659.931988,16
1764036660.035460,18
1764036660.146634,19
